pos_id	pos_id_2	gene_peak_link
chr8:38384701-38387400	chr8:38766151-38767500	hichip
chr8:61734451-61734750	chr8:61782601-61783650	hichip
chr8:74687251-74687700	chr8:74755201-74755950	hichip
chr8:78530251-78530850	chr8:78738301-78739050	hichip
chr8:80170801-80172900	chr8:80080351-80081550	hichip
chr8:80170801-80172900	chr8:80146951-80148000	hichip
chr8:80170801-80172900	chr8:80577601-80580450	hichip
chr8:80612701-80613300	chr8:80577601-80580450	hichip
chr8:80612701-80613300	chr8:80598451-80599350	hichip
chr8:89719651-89720250	chr8:89880451-89880750	hichip
chr8:89719651-89720250	chr8:90000601-90002100	hichip
chr8:119179501-119179800	chr8:119219401-119221050	hichip
chr8:126876601-126877200	chr8:127018051-127019400	hichip
chr8:126876601-126877200	chr8:127090801-127093950	hichip
chr8:126876601-126877200	chr8:127099801-127100700	hichip
chr8:126876601-126877200	chr8:127101301-127102950	hichip
chr8:127330051-127330950	chr8:127018051-127019400	hichip
chr8:127330051-127330950	chr8:127090801-127093950	hichip
chr8:127330051-127330950	chr8:127099801-127100700	hichip
chr8:127330051-127330950	chr8:127101301-127102950	hichip
chr8:127330051-127330950	chr8:127215001-127216200	hichip
chr8:127330051-127330950	chr8:127507351-127508100	hichip
chr9:20219101-20219850	chr9:20198251-20198850	hichip
chr9:74357551-74358150	chr9:73597651-73598400	hichip
chr9:109250401-109251900	chr9:108894301-108894900	hichip
chr9:109250401-109251900	chr9:108991351-108991950	hichip
chr9:109250401-109251900	chr9:109060051-109060800	hichip
chr9:109250401-109251900	chr9:109100401-109102350	hichip
chr9:109250401-109251900	chr9:109213051-109214100	hichip
chr9:109250401-109251900	chr9:109475401-109476000	hichip
chr9:114906901-114909000	chr9:114779251-114779850	hichip
chr9:114906901-114909000	chr9:114995701-114997050	hichip
chr9:120942151-120943050	chr9:120935251-120936900	hichip
chr9:120942151-120943050	chr9:121021351-121021800	hichip
chr1:62726101-62726550	chr1:62687401-62688750	hichip
chr1:62726101-62726550	chr1:62707051-62708100	hichip
chr1:116489251-116489700	chr1:116109601-116112150	hichip
chr1:116489251-116489700	chr1:116329501-116330700	hichip
chr1:150575551-150576300	chr1:150906301-150906900	hichip
chr1:153880801-153882150	chr1:153966601-153969150	hichip
chr1:224204701-224206200	chr1:224186551-224187150	hichip
chr1:234723451-234725550	chr1:234610351-234613500	hichip
chr1:234723451-234725550	chr1:235083151-235084350	hichip
chr10:13686001-13686750	chr10:13717501-13718850	hichip
chr10:60497251-60497700	chr10:60480901-60481500	hichip
chr10:60497251-60497700	chr10:60490051-60490650	hichip
chr10:63682351-63682650	chr10:63711451-63713550	hichip
chr11:9103351-9104100	chr11:9136501-9139500	hichip
chr11:12233251-12233700	chr11:12248101-12250050	hichip
chr11:65036851-65037900	chr11:64841551-64846050	hichip
chr11:65036851-65037900	chr11:65101051-65102850	hichip
chr11:65036851-65037900	chr11:65379151-65383350	hichip
chr11:65694901-65697300	chr11:65379151-65383350	hichip
chr11:65694901-65697300	chr11:65505451-65509800	hichip
chr11:65694901-65697300	chr11:65843851-65844450	hichip
chr11:65694901-65697300	chr11:65885401-65889600	hichip
chr11:65694901-65697300	chr11:65889901-65894250	hichip
chr11:65694901-65697300	chr11:66256501-66259050	hichip
chr11:86941801-86942700	chr11:87005101-87006600	hichip
chr11:86941801-86942700	chr11:87298351-87298500	hichip
chr11:93317101-93317550	chr11:93236701-93237750	hichip
chr11:93317101-93317550	chr11:93355951-93356850	hichip
chr11:93317101-93317550	chr11:93497251-93498600	hichip
chr11:93317101-93317550	chr11:93541801-93543900	hichip
chr11:102793651-102794700	chr11:102835201-102835950	hichip
chr11:118090651-118092000	chr11:118076701-118077300	hichip
chr12:10363801-10365900	chr12:10650151-10650300	hichip
chr12:53569201-53569650	chr12:53658751-53659800	hichip
chr12:71162701-71163750	chr12:71157601-71158950	hichip
chr12:82931101-82932000	chr12:82745851-82746150	hichip
chr12:117066751-117067350	chr12:117090751-117091500	hichip
chr12:119974201-119974650	chr12:119959501-119959950	hichip
chr13:44853451-44855100	chr13:44849101-44849700	hichip
chr13:103883101-103884450	chr13:104130751-104131200	hichip
chr13:103883101-103884450	chr13:104143801-104144550	hichip
chr13:103883101-103884450	chr13:104145451-104146050	hichip
chr13:103883101-103884450	chr13:104170651-104172000	hichip
chr13:106752901-106753950	chr13:106736851-106737450	hichip
chr15:84855001-84856050	chr15:84747451-84749850	hichip
chr15:91536751-91537050	chr15:91531051-91531500	hichip
chr15:92808451-92812500	chr15:92652151-92656200	hichip
chr15:92808451-92812500	chr15:92695651-92696850	hichip
chr15:92808451-92812500	chr15:92819401-92821050	hichip
chr17:8066401-8068500	chr17:8056051-8058000	hichip
chr17:19248001-19249200	chr17:19268701-19269300	hichip
chr17:28710451-28712700	chr17:28726801-28729650	hichip
chr17:30116401-30117600	chr17:30333451-30334050	hichip
chr17:37406101-37407900	chr17:36543901-36546300	hichip
chr17:37406101-37407900	chr17:37299601-37300050	hichip
chr18:22608301-22610100	chr18:22044301-22045650	hichip
chr19:2552851-2553150	chr19:2543401-2544450	hichip
chr2:44286751-44287350	chr2:44244151-44244750	hichip
chr2:44286751-44287350	chr2:44295151-44296050	hichip
chr2:168678301-168678750	chr2:168705601-168707100	hichip
chr2:230650501-230651100	chr2:230796301-230796750	hichip
chr20:297151-298950	chr20:237601-238650	hichip
chr20:297151-298950	chr20:753751-754650	hichip
chr20:5642401-5643000	chr20:5703751-5704200	hichip
chr20:16708651-16708950	chr20:16727401-16728150	hichip
chr20:19999351-19999950	chr20:19806751-19807650	hichip
chr20:24930001-24930750	chr20:25115251-25116450	hichip
chr20:45342001-45343950	chr20:45465001-45466200	hichip
chr20:47355901-47358000	chr20:47358751-47361150	hichip
chr20:47355901-47358000	chr20:47493151-47494200	hichip
chr21:15722551-15723000	chr21:15659401-15660300	hichip
chr21:17512351-17514450	chr21:17435551-17437200	hichip
chr21:17512351-17514450	chr21:17441401-17441850	hichip
chr21:17512351-17514450	chr21:17446651-17447250	hichip
chr21:17512351-17514450	chr21:17462401-17463150	hichip
chr21:17512351-17514450	chr21:17498551-17499150	hichip
chr21:33412801-33413700	chr21:33203701-33204450	hichip
chr21:36155401-36157650	chr21:36125551-36128400	hichip
chr21:36155401-36157650	chr21:36134251-36136650	hichip
chr21:36155401-36157650	chr21:36234901-36235650	hichip
chr21:36155401-36157650	chr21:36347401-36347850	hichip
chr21:37071901-37074450	chr21:36134251-36136650	hichip
chr21:37071901-37074450	chr21:36234901-36235650	hichip
chr21:37071901-37074450	chr21:36584701-36585600	hichip
chr21:37071901-37074450	chr21:36639451-36641250	hichip
chr21:37071901-37074450	chr21:36768601-36769950	hichip
chr21:38612851-38613600	chr21:38561251-38562600	hichip
chr21:38612851-38613600	chr21:38570101-38570850	hichip
chr21:41764651-41769000	chr21:41525851-41527200	hichip
chr21:41764651-41769000	chr21:41677801-41679450	hichip
chr22:24302101-24304050	chr22:24289651-24290400	hichip
chr3:30904351-30905700	chr3:30871651-30872100	hichip
chr3:52153351-52155300	chr3:52285201-52285800	hichip
chr3:174859051-174860100	chr3:175312501-175313250	hichip
chr4:39458251-39460350	chr4:39514951-39515250	hichip
chr4:39458251-39460350	chr4:39622651-39622800	hichip
chr4:41442601-41443200	chr4:41318701-41320500	hichip
chr4:69027301-69028050	chr4:68670451-68671800	hichip
chr4:69027301-69028050	chr4:68732701-68733450	hichip
chr4:69027301-69028050	chr4:68864401-68865600	hichip
chr4:69027301-69028050	chr4:68904751-68906700	hichip
chr4:69027301-69028050	chr4:69095101-69096600	hichip
chr4:72914701-72915300	chr4:72940801-72941100	hichip
chr4:73450651-73451100	chr4:73257151-73260000	hichip
chr4:73450651-73451100	chr4:73442401-73442700	hichip
chr4:85861201-85861650	chr4:85870351-85871100	hichip
chr4:87010951-87013200	chr4:87025351-87026100	hichip
chr4:87010951-87013200	chr4:87092701-87093900	hichip
chr4:88318351-88319850	chr4:88320751-88321350	hichip
chr4:88318351-88319850	chr4:88216351-88217400	hichip
chr4:88318351-88319850	chr4:88514401-88516050	hichip
chr4:94400251-94400400	chr4:94451401-94453350	hichip
chr4:139665601-139667250	chr4:139555201-139558050	hichip
chr4:139665601-139667250	chr4:139887001-139887750	hichip
chr4:139665601-139667250	chr4:140019301-140020350	hichip
chr4:147693151-147693600	chr4:147759901-147761100	hichip
chr4:158826601-158827650	chr4:158819851-158820450	hichip
chr4:169014601-169016400	chr4:169129801-169130100	hichip
chr4:173038201-173040600	chr4:173037001-173037600	hichip
chr4:173038201-173040600	chr4:173056801-173057700	hichip
chr5:32193451-32194200	chr5:32173351-32175450	hichip
chr5:59798701-59800350	chr5:59380501-59381850	hichip
chr5:59798701-59800350	chr5:59767951-59769150	hichip
chr5:60495901-60496350	chr5:60374401-60374850	hichip
chr5:60495901-60496350	chr5:60487351-60488400	hichip
chr5:91162501-91163400	chr5:91101601-91102200	hichip
chr5:91162501-91163400	chr5:91126651-91127100	hichip
chr5:91162501-91163400	chr5:91382551-91384200	hichip
chr5:96144301-96144750	chr5:95989351-95989950	hichip
chr5:96144301-96144750	chr5:96157201-96158550	hichip
chr5:124921801-124923450	chr5:124906351-124907100	hichip
chr5:124921801-124923450	chr5:124908601-124909200	hichip
chr5:124921801-124923450	chr5:125011201-125013450	hichip
chr5:137624701-137625450	chr5:137752951-137755350	hichip
chr5:137624701-137625450	chr5:137796151-137796900	hichip
chr5:142981501-142983150	chr5:142965751-142966350	hichip
chr6:10950151-10950300	chr6:11066851-11069250	hichip
chr6:11392351-11393550	chr6:11066851-11069250	hichip
chr6:11392351-11393550	chr6:11217151-11219250	hichip
chr6:11392351-11393550	chr6:11251351-11252250	hichip
chr6:11392351-11393550	chr6:11296951-11297850	hichip
chr6:20182651-20183700	chr6:20230801-20231400	hichip
chr6:26103451-26104950	chr6:26155501-26160150	hichip
chr6:27806701-27808950	chr6:26155501-26160150	hichip
chr6:27806701-27808950	chr6:27157201-27158400	hichip
chr6:27806701-27808950	chr6:27823651-27825150	hichip
chr6:43704901-43705050	chr6:43769101-43773750	hichip
chr6:90044851-90045300	chr6:89940451-89941950	hichip
chr6:110681551-110682750	chr6:110527951-110529600	hichip
chr6:110681551-110682750	chr6:110655751-110657250	hichip
chr6:110681551-110682750	chr6:110952151-110953050	hichip
chr6:135935851-135936900	chr6:135946801-135947400	hichip
chr6:138231151-138232200	chr6:138188251-138189150	hichip
chr7:42400951-42401400	chr7:42262801-42263400	hichip
chr7:88306501-88307100	chr7:88281751-88282200	hichip
chr7:88306501-88307100	chr7:88289551-88290000	hichip
chr7:88306501-88307100	chr7:88291801-88292400	hichip
chr7:97752151-97752750	chr7:97555951-97556400	hichip
chr7:105896401-105897150	chr7:105876151-105877050	hichip
chr7:156903601-156903900	chr7:156931051-156932400	hichip
chr8:38494951-38496000	chr8:38509651-38511450	hichip
chr8:38494951-38496000	chr8:38734201-38736300	hichip
chr8:42185401-42186300	chr8:42257851-42258150	hichip
chr8:47524201-47527200	chr8:47734801-47739300	hichip
chr8:53692501-53693550	chr8:53227201-53228550	hichip
chr8:53692501-53693550	chr8:53734351-53735250	hichip
chr8:61782601-61783650	chr8:61734451-61734750	hichip
chr8:73453351-73453950	chr8:73490101-73490850	hichip
chr8:74755201-74755950	chr8:74488351-74489250	hichip
chr8:74755201-74755950	chr8:74687251-74687700	hichip
chr8:89880451-89880750	chr8:89719651-89720250	hichip
chr8:101375851-101377200	chr8:101437051-101439150	hichip
chr8:101375851-101377200	chr8:101582701-101584950	hichip
chr8:119219401-119221050	chr8:119179501-119179800	hichip
chr8:126926401-126927150	chr8:127018051-127019400	hichip
chr8:126926401-126927150	chr8:127090801-127093950	hichip
chr8:126926401-126927150	chr8:127099801-127100700	hichip
chr8:126926401-126927150	chr8:127101301-127102950	hichip
chr8:127507351-127508100	chr8:127018051-127019400	hichip
chr8:127507351-127508100	chr8:127090801-127093950	hichip
chr8:127507351-127508100	chr8:127099801-127100700	hichip
chr8:127507351-127508100	chr8:127101301-127102950	hichip
chr8:127507351-127508100	chr8:127330051-127330950	hichip
chr9:20356351-20357250	chr9:19925851-19926750	hichip
chr9:20356351-20357250	chr9:20382451-20383050	hichip
chr9:36273451-36273750	chr9:36296401-36298350	hichip
chr9:72526801-72528300	chr9:72540001-72540900	hichip
chr9:72526801-72528300	chr9:72576301-72579450	hichip
chr9:108991351-108991950	chr9:109060051-109060800	hichip
chr9:108991351-108991950	chr9:109250401-109251900	hichip
chr9:109475401-109476000	chr9:108894301-108894900	hichip
chr9:109475401-109476000	chr9:109213051-109214100	hichip
chr9:109475401-109476000	chr9:109250401-109251900	hichip
chr9:109475401-109476000	chr9:110089351-110090550	hichip
chr9:136798651-136801650	chr9:137188201-137190750	hichip
chr1:6058501-6060000	chr1:6157201-6158400	hichip
chr1:8880151-8880900	chr1:8889901-8890800	hichip
chr1:93552751-93554550	chr1:93584251-93585900	hichip
chr1:93552751-93554550	chr1:93591301-93593250	hichip
chr1:150906301-150906900	chr1:150575551-150576300	hichip
chr1:153966601-153969150	chr1:153880801-153882150	hichip
chr1:244254151-244254750	chr1:244255951-244256700	hichip
chr10:13717501-13718850	chr10:13686001-13686750	hichip
chr10:63711451-63713550	chr10:63207001-63207600	hichip
chr10:63711451-63713550	chr10:63682351-63682650	hichip
chr11:9136501-9139500	chr11:9059101-9060900	hichip
chr11:9136501-9139500	chr11:9103351-9104100	hichip
chr11:12248101-12250050	chr11:12233251-12233700	hichip
chr11:12248101-12250050	chr11:12853651-12855300	hichip
chr11:63774901-63776250	chr11:63936901-63940650	hichip
chr11:65040601-65042250	chr11:64841551-64846050	hichip
chr11:65040601-65042250	chr11:65101051-65102850	hichip
chr11:65843851-65844450	chr11:65694901-65697300	hichip
chr11:67264951-67269150	chr11:67316551-67318650	hichip
chr11:87005101-87006600	chr11:86941801-86942700	hichip
chr11:92948251-92948400	chr11:93216451-93217050	hichip
chr11:92948251-92948400	chr11:93228751-93229500	hichip
chr11:93355951-93356850	chr11:93236701-93237750	hichip
chr11:93355951-93356850	chr11:93317101-93317550	hichip
chr11:93355951-93356850	chr11:93497251-93498600	hichip
chr11:93355951-93356850	chr11:93541801-93543900	hichip
chr11:102835201-102835950	chr11:102793651-102794700	hichip
chr11:111302401-111303900	chr11:111334351-111336000	hichip
chr11:111302401-111303900	chr11:111426451-111427950	hichip
chr11:129191551-129192750	chr11:129324151-129325050	hichip
chr11:129828301-129828900	chr11:129853501-129854850	hichip
chr12:1217101-1217850	chr12:1220101-1221000	hichip
chr12:6430201-6431400	chr12:6492751-6494700	hichip
chr12:6430201-6431400	chr12:6532351-6536400	hichip
chr12:50924551-50925600	chr12:51024301-51026850	hichip
chr12:53658751-53659800	chr12:53569201-53569650	hichip
chr12:62957251-62957700	chr12:62966551-62967150	hichip
chr12:62957251-62957700	chr12:62968951-62969850	hichip
chr12:62957251-62957700	chr12:63038401-63039000	hichip
chr12:115998301-115999200	chr12:116130451-116131500	hichip
chr12:115998301-115999200	chr12:116636551-116637450	hichip
chr12:115998301-115999200	chr12:116697451-116698350	hichip
chr12:117090751-117091500	chr12:117066751-117067350	hichip
chr13:50357551-50358450	chr13:50365951-50367000	hichip
chr13:106899451-106899750	chr13:106699351-106700850	hichip
chr14:37417201-37418400	chr14:37594201-37597350	hichip
chr14:60091201-60092850	chr14:59935651-59937300	hichip
chr15:92819401-92821050	chr15:92808451-92812500	hichip
chr17:19268701-19269300	chr17:19248001-19249200	hichip
chr17:28726801-28729650	chr17:28710451-28712700	hichip
chr17:28726801-28729650	chr17:28763551-28764300	hichip
chr17:28726801-28729650	chr17:28901551-28903650	hichip
chr17:30333451-30334050	chr17:30116401-30117600	hichip
chr17:50531551-50535000	chr17:50541751-50543850	hichip
chr17:50531551-50535000	chr17:50865001-50868150	hichip
chr17:78831751-78832500	chr17:79005151-79006350	hichip
chr18:23101801-23102250	chr18:23134051-23137500	hichip
chr2:44295151-44296050	chr2:44286751-44287350	hichip
chr2:168705601-168707100	chr2:168401851-168402150	hichip
chr2:168705601-168707100	chr2:168678301-168678750	hichip
chr2:230796301-230796750	chr2:230650501-230651100	hichip
chr2:237489301-237490650	chr2:237858301-237862350	hichip
chr20:366001-366750	chr20:753751-754650	hichip
chr20:5703751-5704200	chr20:5642401-5643000	hichip
chr20:16727401-16728150	chr20:16708651-16708950	hichip
chr20:25115251-25116450	chr20:24930001-24930750	hichip
chr20:47358751-47361150	chr20:47355901-47358000	hichip
chr20:47358751-47361150	chr20:47493151-47494200	hichip
chr20:53750851-53751600	chr20:53785201-53787150	hichip
chr20:53750851-53751600	chr20:53863951-53866650	hichip
chr21:17435551-17437200	chr21:17441401-17441850	hichip
chr21:17435551-17437200	chr21:17446651-17447250	hichip
chr21:17435551-17437200	chr21:17462401-17463150	hichip
chr21:17435551-17437200	chr21:17498551-17499150	hichip
chr21:17435551-17437200	chr21:17512351-17514450	hichip
chr21:36234901-36235650	chr21:36134251-36136650	hichip
chr21:36234901-36235650	chr21:36155401-36157650	hichip
chr21:36234901-36235650	chr21:36639451-36641250	hichip
chr21:36234901-36235650	chr21:37071901-37074450	hichip
chr22:21707701-21708450	chr22:21735301-21736500	hichip
chr3:10203901-10204200	chr3:10283401-10284000	hichip
chr3:37934851-37935750	chr3:37945351-37946400	hichip
chr3:37934851-37935750	chr3:37964251-37965300	hichip
chr3:52285201-52285800	chr3:52153351-52155300	hichip
chr3:132577351-132578400	chr3:132603301-132603450	hichip
chr3:138670501-138670800	chr3:138686701-138687150	hichip
chr3:175312501-175313250	chr3:174859051-174860100	hichip
chr3:188635351-188636100	chr3:188641201-188641500	hichip
chr4:25299601-25300350	chr4:25349551-25350150	hichip
chr4:39514951-39515250	chr4:39458251-39460350	hichip
chr4:39514951-39515250	chr4:39622651-39622800	hichip
chr4:69095101-69096600	chr4:68732701-68733450	hichip
chr4:69095101-69096600	chr4:68904751-68906700	hichip
chr4:69095101-69096600	chr4:69027301-69028050	hichip
chr4:82428901-82431600	chr4:83012101-83013750	hichip
chr4:85870351-85871100	chr4:85861201-85861650	hichip
chr4:87025351-87026100	chr4:87010951-87013200	hichip
chr4:87025351-87026100	chr4:87092701-87093900	hichip
chr4:88320751-88321350	chr4:88318351-88319850	hichip
chr4:88320751-88321350	chr4:88216351-88217400	hichip
chr4:88320751-88321350	chr4:88514401-88516050	hichip
chr4:95118451-95119050	chr4:94623151-94623900	hichip
chr4:139887001-139887750	chr4:139665601-139667250	hichip
chr4:139887001-139887750	chr4:140019301-140020350	hichip
chr4:147759901-147761100	chr4:147693151-147693600	hichip
chr4:169129801-169130100	chr4:169014601-169016400	hichip
chr4:169129801-169130100	chr4:169177051-169177650	hichip
chr4:173056801-173057700	chr4:173037001-173037600	hichip
chr4:173056801-173057700	chr4:173038201-173040600	hichip
chr4:185865901-185866350	chr4:185880601-185881200	hichip
chr5:16520851-16522050	chr5:16547251-16548600	hichip
chr5:39613201-39614250	chr5:39656251-39657000	hichip
