Geneid	Length	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	SE
NEMP1	7131	-1.20187164404978	-1.29005930405452	-1.11368398404504	7.120130807236261	-28.2721881805008	1.0063649542868499e-18	7.46420902742695e-16	33.0358874533807	0.04499370408405101
WDHD1	6036	-1.72734612546872	-1.8541416965238202	-1.6005505544136203	5.36696661938224	-28.260799193094698	1.01505122363217e-18	7.46420902742695e-16	32.8662931450041	0.06469161788525508
PRR11	6473	-1.4166826112028	-1.52218327831953	-1.3111819440860801	6.21584697502632	-27.8564975232768	1.3801317438678598e-18	8.920676815504189e-16	32.7003217405638	0.05382687097792087
PRKCA	13309	1.38644139206028	1.28305119360304	1.4898315905175301	7.2176240529459905	27.8183456961661	1.42104068061207e-18	8.920676815504189e-16	32.691948791135694	0.05275010125369646
ODC1	2626	-1.16756090181367	-1.25464632067568	-1.08047548295165	8.19135355585299	-27.8127064002288	1.42719411495147e-18	8.920676815504189e-16	32.6823067147402	0.04443133615408925
THBS1	7241	1.29814525820447	1.20091107404142	1.39537944236753	9.719886646329071	27.695771641641997	1.56126189036837e-18	9.293968995950018e-16	32.569804269676105	0.049609277634211774
HIST1H1C	732	-1.4296697437399701	-1.5380590963882101	-1.32128039109172	6.596125817065411	-27.3626563895082	2.02029962182707e-18	1.1479893442027303e-15	32.33468802713	0.05530069012665567
ATP2A3	6478	1.67218081994403	1.54496932044271	1.79939231944536	5.0478602966942905	27.2687995101535	2.1736430795442897e-18	1.18142226684275e-15	32.1804996119633	0.06490382627618625
MEST	3069	-1.44830315190023	-1.5592076191666897	-1.33739868463377	6.491229537680531	-27.090660192349702	2.49906346534049e-18	1.3016996825092302e-15	32.1161176989164	0.05658391187064279
EFCAB14	5767	-1.29347159072901	-1.39377953078604	-1.1931636506719798	6.9537734892922805	-26.750428045129	3.27002077353592e-18	1.6351411875989e-15	31.859407352245398	0.05117752043726028
APP	4015	0.919472471377473	0.8480181046053621	0.990926838149584	9.70537660990876	26.6943351828383	3.4192979640426497e-18	1.6440247634037397e-15	31.7813221036622	0.03645630957760764
PAICS	3519	-1.03734608600867	-1.11918120306425	-0.955510968953086	9.00869741020233	-26.296207478715402	4.70596643834361e-18	2.1788624609530895e-15	31.470801905853	0.04175261074264391
APLP2	3992	1.00395380394569	0.924135943489335	1.08377166440205	8.859207572032911	26.092927068628	5.54930010923149e-18	2.46062590295425e-15	31.3105301511168	0.040723398192019145
RRM2	3434	-1.1438230473868	-1.2348819815361498	-1.05276411323745	7.75933919522466	-26.058261231687602	5.7081954392187195e-18	2.46062590295425e-15	31.294286199917998	0.046458639872117326
KCNK3	6274	1.4281292828820802	1.3141181284983001	1.54214043726587	6.328055982249629	25.985395677263604	6.057870878240249e-18	2.5243147949627103e-15	31.2430340641044	0.05816895631825763
HIST1H2BK	887	-1.53602551974046	-1.6600014207772902	-1.41204961870363	6.37196478701004	-25.7022007177662	7.644082232310069e-18	3.08253780600349e-15	31.0112261523381	0.06325301073307658
MLEC	11194	0.983152195447843	0.903457150864773	1.0628472400309101	9.00784832619261	25.5916677302601	8.37591350894485e-18	3.27210296172874e-15	30.8875905962602	0.04066073703217785
ZNF615	4614	1.2045721555536397	1.10568994585633	1.30345436525095	7.33878938932968	25.271080433241803	1.0942419299458001e-17	4.091897722225611e-15	30.6491292085616	0.05045010698842346
CWH43	3069	1.05786186011694	0.9709536329501429	1.1447700872837299	7.340231155241259	25.2509209085716	1.11290714787354e-17	4.091897722225611e-15	30.6256797031886	0.044340932227955855
LRIG1	5619	1.06256269889556	0.9741345549091079	1.15099084288202	6.937259505705559	24.927183416100398	1.4627766829982998e-17	5.079492031711579e-15	30.3595929747627	0.04511639999308979
MCM4	4916	-0.9399806134627509	-1.01815009361647	-0.861811133309032	8.74555287952731	-24.9454203090067	1.4402970583915697e-17	5.079492031711579e-15	30.343698888973304	0.0398823878335301
MCM7	3653	-0.977401473280558	-1.0592295866421	-0.895573359919014	8.21472055568157	-24.778761992983604	1.6599272583829798e-17	5.60831098839072e-15	30.208582730837698	0.041749037429358676
PCYOX1	5377	1.4305423484784	1.31055565008579	1.55052904687101	6.20256167843538	24.7329983507768	1.7261641185505798e-17	5.678625696315989e-15	30.2010560257143	0.061217703261535715
CDC45	2434	-1.33171123014937	-1.4435952266621699	-1.21982723363657	6.37224551961246	-24.691714347245604	1.78828584102813e-17	5.732143922741709e-15	30.166638577245497	0.05708367169020403
ABLIM3	6402	1.40307373649443	1.28489609639925	1.52125137658961	5.26822528013287	24.629428527580103	1.88646375536341e-17	5.89567085144951e-15	30.0883661643713	0.060294714334275544
CD24	3159	1.01942035089102	0.933396394089487	1.1054443076925502	8.00898057576496	24.5834616922086	1.9625182294841e-17	5.98376594799529e-15	30.0465119682004	0.043889773878332435
DAZAP2	2823	1.08405778650849	0.992343258530424	1.1757723144865602	7.38836496847655	24.520168538653998	2.07251705294655e-17	6.1686989711630496e-15	30.005343949447102	0.04679312651942248
FLOT2	2860	1.05754988079927	0.9674100108499929	1.14768975074854	7.2112656344143	24.3384595187494	2.4255605768520603e-17	7.05161227237852e-15	29.853867108602298	0.045989729565955886
RAP1GAP	4420	1.0722245908274999	0.9803064688319929	1.164142712823	7.32612163590989	24.1987968531692	2.7393183149529198e-17	7.78277687618782e-15	29.7123448797626	0.046897001018114046
SLAIN2	6205	1.4072168563973897	1.28619282855343	1.52824088424135	6.73329147281639	24.1211816339471	2.9317367490747303e-17	8.1443646889296e-15	29.6725770357228	0.061746952981612216
SPDEF	3117	1.2044152873541298	1.10036830313164	1.30846227157662	6.900661844126249	24.0135249808535	3.22229492670885e-17	8.75693671277985e-15	29.5592974410713	0.05308519603188267
CDC6	3420	-1.06723206491678	-1.15980420390045	-0.9746599259330991	6.62539863187973	-23.915954549759196	3.51162939451271e-17	9.340187034213499e-15	29.4875097310359	0.04723068315493643
PSAT1	2256	-1.1650973764362	-1.26670306463471	-1.0634916882376801	6.24454805077088	-23.7877494503044	3.9336235841696906e-17	1.0244630922021901e-14	29.3810828189469	0.05183963683597699
KIF15	5555	-1.14581814251738	-1.24621264599245	-1.0454236390423	6.31223585144076	-23.676358717530398	4.3432407597810995e-17	1.1080582191433399e-14	29.280013264449202	0.051221685446466866
TMC6	6657	1.40319379081649	1.2793636701023898	1.5270239115305901	5.69857659893887	23.5071788166644	5.0525991330411204e-17	1.21795336109814e-14	29.128556411157103	0.06317863301739804
CASP3	2673	-1.69046015232621	-1.83917100665784	-1.5417492979945702	4.97969307872242	-23.5814997622752	4.727140376671e-17	1.18187963697528e-14	29.1189804974264	0.07587288486307903
MGLL	5875	1.2135680333498702	1.10612891755608	1.32100714914367	5.651115748558789	23.432080768599402	5.4052994200057394e-17	1.27493675565079e-14	29.0643711666559	0.054815875404997425
ADAMTS1	4651	-1.21865126118309	-1.32666598405024	-1.11063653831593	6.29650111190272	-23.404838006795	5.5395182814506495e-17	1.2823984821558301e-14	29.0370592407305	0.055109552483242334
ATF5	2769	1.06852686292469	0.9732906900561049	1.16376303579327	6.665782516082389	23.2751593611858	6.22781740177835e-17	1.41552627890238e-14	28.9093871947189	0.04858988411662375
TGM2	5467	1.81502648887294	1.6548321021147	1.97522087563119	3.8888167660902204	23.504164952964803	5.06628067971387e-17	1.21795336109814e-14	28.8790206700379	0.0817318299786964
VANGL1	8769	1.3096573956097	1.19269364856324	1.42662114265616	5.830649165726251	23.228201235837304	6.49858775901065e-17	1.45069367098914e-14	28.876102838306302	0.05967538114615304
TICRR	6670	-1.39004336502734	-1.51430804023089	-1.26577868982379	6.14294811227217	-23.2054402969306	6.634227087450721e-17	1.45499075123196e-14	28.859738251153697	0.06340034449160714
BRCA1	7362	-1.09381104172136	-1.19231673940714	-0.995305344035583	6.73423018608076	-23.0351001518465	7.748013500231021e-17	1.6699640821791e-14	28.6929387199178	0.050258009023356344
FAM111B	3561	-1.13775888139631	-1.2404334070345	-1.03508435575811	6.2977615648273	-22.987761479106698	8.091016889095993e-17	1.7143356293320202e-14	28.6576274583424	0.05238496206030358
ANXA2	5266	1.60612227638284	1.4610250557386397	1.75121949702703	5.03576767942299	22.9630020777673	8.276694746667759e-17	1.7244493504682302e-14	28.6211935304273	0.07402919420622203
IL6ST	9984	1.62995535336461	1.48241903899757	1.77749166773165	6.755853555796549	22.9184863664616	8.621804330228299e-17	1.76690452347843e-14	28.5787951193538	0.07527362977910201
SEL1L3	8888	1.28279535454521	1.16601448334208	1.3995762257483402	5.1055465121402	22.7874023549651	9.72804521643423e-17	1.96145634275233e-14	28.4693838829361	0.05958207714445412
LMNB1	3481	-0.9152917526017429	-0.9993359003294701	-0.831247604874017	8.168214331327171	-22.5923404867868	1.1656238885416702e-16	2.27679128604054e-14	28.2329363236369	0.042879667208023726
AMD1	3619	0.9262879216547281	0.8411273738914359	1.01144846941802	10.1592710356579	22.564032047987105	1.19676104782902e-16	2.30164767060163e-14	28.1540800805369	0.04344925906290409
NDRG3	3767	0.972461348192708	0.882204297719227	1.06271839866619	7.21165704670086	22.351175297502998	1.46056483679326e-16	2.7597967543903303e-14	28.0349072091126	0.046049515547694604
RAB6B	5687	1.47219956713328	1.33547812840641	1.60892100586015	5.06115606191616	22.3377393415513	1.47913272973484e-16	2.7597967543903303e-14	28.006761297550998	0.06975583608513777
TDG	3244	-0.989800880491741	-1.08246989054005	-0.897131870443427	6.55886887346513	-22.1575871011057	1.75332827586013e-16	3.17657344587355e-14	27.873606997656196	0.04728010716750588
SERINC2	3549	1.69684907557208	1.53801450224948	1.8556836488946797	4.30383340666934	22.161917225594603	1.74615011551201e-16	3.17657344587355e-14	27.8286243765381	0.08103804761357136
PNRC2	2510	-0.9929444335047359	-1.0860453755175898	-0.899843491491882	7.21248889583738	-22.1248341160688	1.8086313066143603e-16	3.2299243794549396e-14	27.8238268432507	0.047500480618803013
MAOA	5438	-0.940051905948127	-1.02825305144326	-0.851850760452998	7.379921914321799	-22.1098991586233	1.8344502915070898e-16	3.2299243794549396e-14	27.796396275012103	0.04500058443629131
PLEKHH1	8680	1.1344731374525199	1.02784238737458	1.2411038875304599	6.63300041147864	22.070943842099	1.9036213439467e-16	3.3051625584274606e-14	27.776688457774302	0.05440344391731632
KLHL2	3710	-1.5014495806382298	-1.64430792214704	-1.35859123912942	4.99725361547637	-21.8029019653115	2.4597832718634305e-16	4.15537171372496e-14	27.4992974540089	0.07288690893306635
TSPAN9	6401	1.06050707650558	0.959196338657783	1.16181781435338	6.22484012663884	21.7153705961449	2.6762076445221697e-16	4.4020094426541705e-14	27.4591841079602	0.05168915196316249
RCC1	3027	-0.8924620607690049	-0.9775848213495241	-0.807339300188486	7.9911114305776	-21.7496972661738	2.58905641078096e-16	4.3154392254897e-14	27.4252198135031	0.04342997988801992
COL9A2	4295	1.72786246779834	1.56084681482307	1.89487812077361	4.37357380984038	21.4615531532489	3.4236173337135203e-16	5.4870051652247003e-14	27.1807548876224	0.08521206784452551
CDV3	4547	-0.8470450181862881	-0.9288820888712719	-0.7652079475013029	8.062669929088731	-21.4716574456472	3.3900410537682795e-16	5.4870051652247003e-14	27.1506220826362	0.041753607492339015
MCAM	3334	1.6210445523690302	1.46342895121282	1.77866015352525	4.42517039455558	21.3356019993067	3.8725237290506296e-16	6.12790115656481e-14	27.0103813370886	0.08041612303888519
NCALD	6370	1.28721029163497	1.16123863197329	1.4131819512966401	4.983359417590701	21.1975566825387	4.4358107911267304e-16	6.857563747881189e-14	26.9630980737655	0.06427125492942608
C9orf152	2661	0.888838834895109	0.8018463749637571	0.975831294826462	6.96142485376858	21.1958365891444	4.44334584095974e-16	6.857563747881189e-14	26.908691549732104	0.04438390812824105
AARS2	5296	-1.05602498867263	-1.1599672152442901	-0.952082762100965	6.30102866303251	-21.0761524987998	5.001866291810599e-16	7.44384887070527e-14	26.831566071388604	0.053031748250848255
CENPF	10427	-1.0703114462654	-1.1755691682026201	-0.965053724328172	7.8814177807217805	-21.094311573579898	4.91261800200508e-16	7.39911296904404e-14	26.775768292396698	0.053702919355726554
SKP2	6288	-1.07333148533454	-1.1794550452011698	-0.967207925467907	6.17041830172798	-20.9812429406338	5.496661996629371e-16	7.98997344417021e-14	26.738736314274302	0.05414467340134256
AP2M1	2015	0.882140042519025	0.795030697626303	0.9692493874117478	7.371040422423559	21.007866145831002	5.35291507331528e-16	7.872563686060499e-14	26.717672819077702	0.044443543312613486
HSP90B1	2862	-0.781080626663528	-0.857768863951902	-0.7043923893751529	11.280823598132	-21.1288696378521	4.747332096178269e-16	7.23736567491764e-14	26.7168087078479	0.03912665167774211
CDCA8	2486	-1.14134348663956	-1.2548890417124499	-1.02779793156667	6.19212478998356	-20.8523679682433	6.251690560595501e-16	8.98303260896601e-14	26.6071100200659	0.057931405649433616
CREB3L1	3142	3.41246967046249	3.1008290979526003	3.7241102429723902	2.37009388485564	22.715586768970297	1.03960063489219e-16	2.0628646883789398e-14	26.525747289432697	0.15900029209688518
RAF1	3637	0.8969465019076809	0.8071408486005899	0.986752155214773	7.40761549732464	20.7191539273569	7.14675250879945e-16	1.0038376754213699e-13	26.423624530976	0.045819210870965084
VTN	1678	3.23413898611041	2.92917613503789	3.53910183718293	2.22096078972079	21.9999094590729	2.0368521553761698e-16	3.4880395608708895e-14	26.376429442456498	0.1555932913635306
KLK2	2958	0.8543352539935949	0.768808810309663	0.9398616976775269	11.1183372564661	20.7222575461829	7.124444605308571e-16	1.0038376754213699e-13	26.300556127575497	0.04363594065506733
SDC1	3696	-0.962611704105115	-1.0595279402835	-0.8656954679267329	8.00261883711414	-20.604579281139	8.02344407734817e-16	1.1022096089113099e-13	26.285638099173898	0.0494470592746855
EXO1	3836	-1.22217529261516	-1.3457984372064298	-1.09855214802388	5.3696806621696105	-20.5089235554814	8.84116474510209e-16	1.20134130954914e-13	26.280779182232	0.06307303295473209
LPL	3747	1.00053795308829	0.8992128943329549	1.1018630118436201	5.877959473122621	20.4845230241109	9.063366700154858e-16	1.21829190450146e-13	26.2224199139218	0.05169645854863908
STRADB	2322	1.89041426600445	1.70021409518369	2.08061443682522	4.37846831689236	20.6184130864674	7.91188448514503e-16	1.09896075498664e-13	26.2216518302599	0.0970409034799822
CAPN1	3504	0.8919904737228701	0.801292616567186	0.9826883308785529	6.831133357311719	20.4019811872616	9.85922077881482e-16	1.31117147825494e-13	26.1102101278193	0.04627441691616503
KIF11	5078	-0.9070550944855659	-0.9994241796904371	-0.8146860092806949	7.39769320787835	-20.371179584444302	1.01745950930156e-15	1.32492305476863e-13	26.0559509999472	0.04712708428819953
HMGB2	1653	-0.866973393145649	-0.9552057154966229	-0.778741070794675	8.958981399397	-20.383896808191302	1.0043127775137402e-15	1.3215698980736e-13	26.0140822671125	0.04501649099539487
IGFBP3	3186	1.39375934767217	1.25104417161119	1.5364745237331598	6.92405169567386	20.259409764065	1.1410257136330002e-15	1.4555063720536902e-13	25.994504959556103	0.07281386533723722
PDIA4	2963	-0.7807734391861899	-0.860816083781806	-0.700730794590573	8.30915832865548	-20.2354447741343	1.1695017533828598e-15	1.4767617594989e-13	25.8755633145994	0.040838083977355354
CTNND2	6569	1.00000938019987	0.8970372531976201	1.10298150720211	6.69640156133819	20.1462186491739	1.28221290453639e-15	1.60289435196095e-13	25.858102652045	0.05253679949094133
FEN1	2296	-1.06622867763841	-1.17678945837051	-0.9556678969063092	6.2476106846530595	-20.0059148234603	1.48292164055883e-15	1.81745131653195e-13	25.732583314054498	0.05640856159801044
CSTF3	3181	-0.954887464083714	-1.0538079928354398	-0.855966935331986	6.81303166972839	-20.025110249439898	1.45362978506531e-15	1.7991906874357801e-13	25.721652959050196	0.05046965752639128
ERGIC1	4342	0.765114979506246	0.6856993394364549	0.8445306195760359	8.059812360266239	19.9861810453906	1.51367766701933e-15	1.8371344189717101e-13	25.617237474861103	0.0405181837090768
COLEC12	3134	0.9772644065643281	0.8752970586400841	1.07923175448857	6.61679580298002	19.8820018809375	1.68744869718222e-15	2.00902820604523e-13	25.586170984370103	0.052024157104205555
TMPO	7259	-0.983579944498267	-1.08596036641195	-0.881199522584582	8.82133602192056	-19.929752380645198	1.6053517197654802e-15	1.92966363930657e-13	25.5375062974747	0.052234909139634675
GART	4491	-0.8952596749367209	-0.988783319517783	-0.8017360303556591	7.659253366366	-19.8580570156356	1.73025444163788e-15	2.04055762027502e-13	25.5057001355485	0.04771614519441936
SHC2	3289	1.4764115312281498	1.3213014997819799	1.6315215626743103	4.3478623871778606	19.745889194963	1.9463960088081e-15	2.23228408312936e-13	25.4773886390659	0.07913777114600265
PLEKHA6	17224	1.71653098460077	1.53675607359151	1.89630589561003	3.6840990154924	19.807593639546898	1.82421821693878e-15	2.1234456553245e-13	25.4039662895073	0.09172189337207144
CUX2	9698	1.9599200944546202	1.7545990907403999	2.16524109816884	3.7143420105632	19.802231801080197	1.83451028537753e-15	2.1234456553245e-13	25.369513589895398	0.10475561413990823
CLSTN2	14542	2.51447884455978	2.2576731771035	2.77128451201607	2.44219685874704	20.3119928546943	1.08105045965148e-15	1.3932177109384698e-13	25.3654113190311	0.13102329972259444
RRAGC	2733	-1.2372463011212	-1.36836256847044	-1.10613003377195	5.410722229723589	-19.575314128345102	2.3306338497016397e-15	2.6486594322836603e-13	25.3162072675662	0.06689605477002294
CPAMD8	8273	1.29239539381496	1.15534684453952	1.42944394309041	5.16844306114547	19.5627593182159	2.36187595453942e-15	2.65998300069345e-13	25.3024963225177	0.0699227292221658
MFSD4A	4088	1.23390758598652	1.10241561932396	1.36539955264908	4.903193528315191	19.4667103206024	2.6158320907299197e-15	2.8435232144534603e-13	25.201254829692804	0.06708773809314288
GRB2	3304	-0.9482869247216509	-1.04925080238862	-0.847323047054684	6.515905022273881	-19.484214115723802	2.56751213730329e-15	2.81547975687969e-13	25.1708610435088	0.05151218248314695
BUB1B	3742	-0.942960256124275	-1.04320687453002	-0.84271363771853	6.92038321572491	-19.5133938339018	2.4890193420261996e-15	2.7584755636744797e-13	25.1698088915375	0.051146233880482145
MEA1	2346	1.27263882610854	1.1367881978340901	1.4084894543829798	5.54356080369048	19.4335736441	2.7099230274483e-15	2.87753291003739e-13	25.1658091767845	0.06931154503798205
RAI2	2894	1.44941482756659	1.29483339048354	1.60399626464963	4.21066977988094	19.4511154875841	2.6596814166301195e-15	2.8662652921804403e-13	25.1605500121427	0.07886808014441068
PPP2R2C	6074	1.16002449090074	1.03615761464458	1.28389136715689	5.194943169346709	19.4276882500282	2.7270003717932203e-15	2.87753291003739e-13	25.1599316356393	0.06319738584497704
NCAPD2	4806	-0.870230724142515	-0.9627533787938571	-0.777708069491173	7.68324070797557	-19.511716640813	2.49346243256713e-15	2.7584755636744797e-13	25.1278576506447	0.0472054360466031
CCNA2	2798	-0.8911019660856802	-0.9862738882128109	-0.795930043958548	6.4952769475018295	-19.4235100352762	2.73919219497999e-15	2.87753291003739e-13	25.0929256882272	0.04855710312608747
LMNB2	4644	-0.83873413134534	-0.928609151656861	-0.74885911103382	7.383726474044759	-19.3595147736842	2.93320094970805e-15	3.0304086836611896e-13	24.9806134029814	0.04585460219975536
SEH1L	4263	-1.05823689060704	-1.17218000298207	-0.944293778232006	6.123627559541191	-19.266550805991102	3.2409405302570804e-15	3.26733851360837e-13	24.9501426141254	0.05813424100766937
HSPA5	3970	-0.7140206571528509	-0.790399202754152	-0.63764211155155	10.3349543730702	-19.3931584187119	2.82948120806341e-15	2.9476120485000503e-13	24.9104243603428	0.03896864571494948
TMSB4X	629	1.1174368369927	0.997248442877701	1.2376252311077	7.42210403676351	19.2872186817383	3.16972740395859e-15	3.2479313341710104e-13	24.9090187155424	0.0613206092423467
SERP1	3837	0.963915928322056	0.860169031057419	1.06766282558669	7.41586432309723	19.2740593803226	3.2148779335386698e-15	3.26733851360837e-13	24.889058835929	0.052932090441140556
C11orf95	5582	1.07912328243439	0.962151724922551	1.1960948399462301	5.320569847567991	19.1381495075364	3.7224197141583e-15	3.69317213068992e-13	24.8408117349902	0.059679366077469174
MGP	1473	1.05113095575694	0.936831408454999	1.16543050305889	5.05084979252541	19.077500293540698	3.97524601112438e-15	3.85229072752449e-13	24.7512388856572	0.058316095562217105
DYNLL2	1522	0.9180688608424928	0.8184153103259821	1.017722411359	6.718995774442299	19.111361769883803	3.83195526738863e-15	3.7673279877142106e-13	24.749790445433	0.050843648222708634
CBX3	3236	-0.785417621053859	-0.8704902472397779	-0.7003449948679389	8.33023040989884	-19.1522566957141	3.66605288429e-15	3.66634616852074e-13	24.7089688595403	0.04340440111526504
NIPAL2	9109	1.1293529786319199	1.0060266038605299	1.25267935340331	5.37593293453154	18.996906675551898	4.33923316880801e-15	4.1408209040663294e-13	24.679833769450497	0.06292161978132146
KIF20A	3471	-0.7345796774862491	-0.8143415703242428	-0.654817784648254	7.93320499429203	-19.105244963217398	3.857435264598179e-15	3.7673279877142106e-13	24.671288760515598	0.04069484328469102
HELLS	13326	-1.03836497845476	-1.1516387192556201	-0.9250912376539001	6.45236103013098	-19.016471720877302	4.24778915293207e-15	4.0847394000618295e-13	24.657557169654602	0.057792724898397964
CDCA4	2453	-1.48129749653207	-1.64347236816311	-1.3191226249010402	4.3956691452977905	-18.948196462542697	4.57592916317455e-15	4.33361291430644e-13	24.6227193037	0.08274228144440558
ITGA3	5076	1.4183330877295401	1.26258833851064	1.57407783694844	4.64870927246606	18.8918276010004	4.8667412560708105e-15	4.4535859274582e-13	24.578443775209603	0.07946160674433675
TOB1	2521	0.9014269813345569	0.8023942363534509	1.00045972631566	6.280545550765099	18.882560688511802	4.916365554669479e-15	4.4535859274582e-13	24.512666391214104	0.0505269107046452
RNF149	9790	0.997518743514473	0.887762003623611	1.10727548340533	6.38653348093121	18.8538053572297	5.073737637996679e-15	4.56307872033068e-13	24.4894172088205	0.05599833667900994
ST6GALNAC5	6752	1.46715690747352	1.3056041583284799	1.62870965661856	4.2102604117106095	18.839586342959002	5.15348819905039e-15	4.5799463456532e-13	24.479997971943604	0.08242487201277553
CDCA5	3965	-0.8000581976544779	-0.8878887602186101	-0.712227635090345	7.53801774873811	-18.8966608256773	4.8410669192515605e-15	4.4535859274582e-13	24.461861060531803	0.04481151151231251
MCM10	4579	-1.08196807688355	-1.20140391368423	-0.96253224008286	5.57184174999355	-18.792689729951103	5.4259140651733205e-15	4.64584600881724e-13	24.458396467353896	0.060936651428920935
RNPS1	4186	-0.929330865417972	-1.03170886327677	-0.8269528675591709	6.442128919688719	-18.8309782747516	5.20240285643352e-15	4.5799463456532e-13	24.4543695966948	0.05223367237693854
TM7SF2	1601	0.7646079160317379	0.6807187157605199	0.8484971163029571	8.08451757325838	18.9078387008799	4.78222916064956e-15	4.4535859274582e-13	24.4399647695101	0.042800612383274796
LAMP2	9388	0.921609503858473	0.82010124234117	1.02311776537578	6.77669368255342	18.8345265542274	5.18218163818486e-15	4.5799463456532e-13	24.439458980732603	0.05178992934556376
CCNB1	2169	-0.8370298788926841	-0.928959349960977	-0.745100407824391	7.85915145839367	-18.8884078903856	4.88499269657965e-15	4.4535859274582e-13	24.4312248152977	0.046902791361373965
AHNAK	19382	1.44790153813501	1.28815731544401	1.60764576082602	6.5167498715976295	18.802821450424897	5.36581213656172e-15	4.64584600881724e-13	24.4266693469451	0.08150215443418621
HSPG2	15108	0.926000883220052	0.824360546954793	1.02764121948531	8.152176945435249	18.899680423977802	4.82509839445409e-15	4.4535859274582e-13	24.413584550227398	0.051857314421050245
AMACR	3352	-0.873619992515552	-0.970095859143058	-0.777144125888047	6.76089937217115	-18.7850791251165	5.47152215433882e-15	4.653027105536701e-13	24.37641056243	0.04922238093240074
MCRIP1	1421	-1.32343539823959	-1.4702349100682899	-1.17663588641089	4.806293384640809	-18.7019670832812	5.9964261059453396e-15	4.931665970422539e-13	24.367085340963	0.07489771011668367
KIF23	3881	-0.777813832869872	-0.86366903478286	-0.691958630956883	7.04274314581813	-18.7939558189655	5.41836532217105e-15	4.64584600881724e-13	24.364889441427998	0.04380367444540227
NETO2	3886	-1.02172925586967	-1.13510269539223	-0.9083558163471129	5.34775175788096	-18.695352559426897	6.0403970212099405e-15	4.93312970104062e-13	24.3557588796602	0.05784359159314213
AIDA	3038	0.941715742856871	0.8375958844424691	1.0458356012712702	7.010897708551589	18.7627034643035	5.6079432794485905e-15	4.73681749570181e-13	24.353080838177398	0.05312237674204109
SPOCK1	4827	0.9583215543240021	0.8522338591046991	1.0644092495433102	6.31175588775687	18.7393876355939	5.75387623476675e-15	4.810073180337791e-13	24.345799410959703	0.05412637511189059
ATAD2	6092	-0.8198741788801841	-0.910235821336598	-0.72951253642377	8.480116907203321	-18.8222806936029	5.25231820238945e-15	4.5915545348301e-13	24.3360604783158	0.04610287880429285
PTPRN2	21186	0.9722808892010001	0.864362679593363	1.0801990988086398	5.52857067696577	18.689865276841896	6.07712962131234e-15	4.93312970104062e-13	24.332022329471396	0.05506031102430532
